,device,bat_capacity,current_cost,battery_cost
0,DD44108624400,2,-1315.1333599300046,1.9412159439044743
1,DD44108624400,4,-1315.1333599300046,84.53029219193917
2,DD44108624400,6,-1315.1333599300046,122.06765564018815
3,DD44108624400,8,-1315.1333599300046,138.23287776096765
4,DD44108624400,10,-1315.1333599300046,144.82358455286
5,DD44108624400,12,-1315.1333599300046,148.0680315860707
6,DD44108624400,14,-1315.1333599300046,150.0526820910545
7,DD44108624400,16,-1315.1333599300046,151.7597747667894
8,DD44108624400,18,-1315.1333599300046,153.4884281923808
9,DD44108624400,20,-1315.1333599300046,154.6101757982966
0,DD44108624580,2,-4893.979720926042,-725.8425705385058
1,DD44108624580,4,-4893.979720926042,-471.311893951063
2,DD44108624580,6,-4893.979720926042,-306.77851172488374
3,DD44108624580,8,-4893.979720926042,-205.7508297994324
4,DD44108624580,10,-4893.979720926042,-136.1670859449185
5,DD44108624580,12,-4893.979720926042,-83.8682501257242
6,DD44108624580,14,-4893.979720926042,-39.44782282094734
7,DD44108624580,16,-4893.979720926042,-1.5232746225798395
8,DD44108624580,18,-4893.979720926042,30.16989737761707
9,DD44108624580,20,-4893.979720926042,57.32973486616662
0,DD44108625545,2,-1241.6582040489664,-299.3390532750236
1,DD44108625545,4,-1241.6582040489664,-181.78786177333689
2,DD44108625545,6,-1241.6582040489664,-104.90809161761375
3,DD44108625545,8,-1241.6582040489664,-59.74467181622165
4,DD44108625545,10,-1241.6582040489664,-35.098040484766415
5,DD44108625545,12,-1241.6582040489664,-21.212817510932698
6,DD44108625545,14,-1241.6582040489664,-11.087650451447418
7,DD44108625545,16,-1241.6582040489664,-3.9525013855786537
8,DD44108625545,18,-1241.6582040489664,1.363185485700715
9,DD44108625545,20,-1241.6582040489664,5.48136184102063
0,DD44108625594,2,-136.62167485199842,-610.7451278870674
1,DD44108625594,4,-136.62167485199842,-555.801707908019
2,DD44108625594,6,-136.62167485199842,-529.5843492323661
3,DD44108625594,8,-136.62167485199842,-518.7812669276465
4,DD44108625594,10,-136.62167485199842,-513.0172889168031
5,DD44108625594,12,-136.62167485199842,-508.8855591419368
6,DD44108625594,14,-136.62167485199842,-505.4799452743309
7,DD44108625594,16,-136.62167485199842,-502.9734565103034
8,DD44108625594,18,-136.62167485199842,-500.9205848990674
9,DD44108625594,20,-136.62167485199842,-499.6411512224668
0,DD44108625704,2,-1930.7699859459426,-41.23376507907403
1,DD44108625704,4,-1930.7699859459426,21.783737536512447
2,DD44108625704,6,-1930.7699859459426,62.28238499104721
3,DD44108625704,8,-1930.7699859459426,90.61480553529142
4,DD44108625704,10,-1930.7699859459426,110.95764346268777
5,DD44108625704,12,-1930.7699859459426,127.61330633101501
6,DD44108625704,14,-1930.7699859459426,139.75186966606597
7,DD44108625704,16,-1930.7699859459426,148.22181919257415
8,DD44108625704,18,-1930.7699859459426,154.39015114192387
9,DD44108625704,20,-1930.7699859459426,159.29944674852447
0,DD44108744903,2,-2393.072577173112,273.74373640285313
1,DD44108744903,4,-2393.072577173112,293.9360694879714
2,DD44108744903,6,-2393.072577173112,305.03851236869093
3,DD44108744903,8,-2393.072577173112,314.32475431058384
4,DD44108744903,10,-2393.072577173112,322.2344548934846
5,DD44108744903,12,-2393.072577173112,329.1450506599631
6,DD44108744903,14,-2393.072577173112,334.64314529889583
7,DD44108744903,16,-2393.072577173112,340.0858192354449
8,DD44108744903,18,-2393.072577173112,344.56257287077267
9,DD44108744903,20,-2393.072577173112,348.3478376801048
0,DD44108746880,2,-2922.947454028983,-1549.4176138094374
1,DD44108746880,4,-2922.947454028983,-1370.882568058552
2,DD44108746880,6,-2922.947454028983,-1242.5382397587841
3,DD44108746880,8,-2922.947454028983,-1136.4709760557103
4,DD44108746880,10,-2922.947454028983,-1051.3846529517734
5,DD44108746880,12,-2922.947454028983,-989.8251341408107
6,DD44108746880,14,-2922.947454028983,-944.8952851682837
7,DD44108746880,16,-2922.947454028983,-909.3825903931913
8,DD44108746880,18,-2922.947454028983,-881.2783133032676
9,DD44108746880,20,-2922.947454028983,-857.2282334468878
0,DD44108746900,2,-1151.9606519280744,-179.04975761436225
1,DD44108746900,4,-1151.9606519280744,-65.32262301507888
2,DD44108746900,6,-1151.9606519280744,-24.468847275556094
3,DD44108746900,8,-1151.9606519280744,-8.520917685492435
4,DD44108746900,10,-1151.9606519280744,3.3291641842237474
5,DD44108746900,12,-1151.9606519280744,13.429986893387483
6,DD44108746900,14,-1151.9606519280744,21.11048357836839
7,DD44108746900,16,-1151.9606519280744,26.981713246962954
8,DD44108746900,18,-1151.9606519280744,31.12303058957266
9,DD44108746900,20,-1151.9606519280744,35.35355143420484
0,DD44108746987,2,-2414.01125483403,-1005.926575583794
1,DD44108746987,4,-2414.01125483403,-745.2292824101622
2,DD44108746987,6,-2414.01125483403,-564.9454634583752
3,DD44108746987,8,-2414.01125483403,-455.39916789689534
4,DD44108746987,10,-2414.01125483403,-396.04927700331183
5,DD44108746987,12,-2414.01125483403,-360.55842967257786
6,DD44108746987,14,-2414.01125483403,-333.4688888161725
7,DD44108746987,16,-2414.01125483403,-311.90256716399847
8,DD44108746987,18,-2414.01125483403,-294.1642229458297
9,DD44108746987,20,-2414.01125483403,-279.56224418050886
0,DD44108747374,2,-2787.760360079984,-448.82695949869736
1,DD44108747374,4,-2787.760360079984,-265.55592830912144
2,DD44108747374,6,-2787.760360079984,-145.94472363321177
3,DD44108747374,8,-2787.760360079984,-67.65673402305745
4,DD44108747374,10,-2787.760360079984,-13.7467875902877
5,DD44108747374,12,-2787.760360079984,22.971668270844674
6,DD44108747374,14,-2787.760360079984,49.36275462275443
7,DD44108747374,16,-2787.760360079984,68.05966350605267
8,DD44108747374,18,-2787.760360079984,83.22880880421923
9,DD44108747374,20,-2787.760360079984,94.68605809845008
0,DD44108747529,2,-1241.7638575080396,-2062.6079416597217
1,DD44108747529,4,-1241.7638575080396,-1983.5293997772296
2,DD44108747529,6,-1241.7638575080396,-1935.9307826792574
3,DD44108747529,8,-1241.7638575080396,-1906.5858090589006
4,DD44108747529,10,-1241.7638575080396,-1887.9136924699371
5,DD44108747529,12,-1241.7638575080396,-1875.4823704546236
6,DD44108747529,14,-1241.7638575080396,-1866.5251554215831
7,DD44108747529,16,-1241.7638575080396,-1859.7055511107417
8,DD44108747529,18,-1241.7638575080396,-1854.563727369032
9,DD44108747529,20,-1241.7638575080396,-1851.289702467999
0,DD44108847037,2,-873.5223537230021,-766.7197131649092
1,DD44108847037,4,-873.5223537230021,-641.0133730572219
2,DD44108847037,6,-873.5223537230021,-542.9737316326291
